Model,Accuracy,BalancedAcc,MacroF1,WeightedF1,MacroPrec,MacroRec,Kappa,MCC,ROC_AUC_ovr,FitTime_s,PredTime_ms,Scaled
LightGBM,74.8227,66.96382,0.69911,0.74161,0.74976,0.66964,0.60679,0.61034,0.87646,35.33,137.7,False
XGBoost,74.55674,66.54521,0.69597,0.73766,0.74832,0.66545,0.60089,0.60559,0.87544,7.68,19.4,False
HistGradientBoost,73.75887,68.99709,0.69478,0.7367,0.70128,0.68997,0.60056,0.60116,0.87472,1.58,23.1,False
RandomForest,74.55674,66.06587,0.68653,0.73683,0.73034,0.66066,0.60195,0.60623,0.86821,2.71,90.6,False
GradientBoosting,73.49291,65.63333,0.67951,0.72718,0.71596,0.65633,0.58659,0.59006,0.86644,150.76,18.8,False
ExtraTrees,71.89716,63.01446,0.65236,0.71094,0.68884,0.63014,0.56226,0.56509,0.85812,0.8,64.7,False
MLP,68.70567,58.44157,0.60784,0.67642,0.65419,0.58442,0.50944,0.51305,0.83382,0.91,1.9,True
DecisionTree,61.4805,61.0326,0.569,0.62772,0.55969,0.61033,0.44899,0.4545,0.80224,0.42,1.0,False
LDA,65.07092,56.26451,0.5674,0.64317,0.57629,0.56265,0.46103,0.46295,0.81237,0.03,0.2,True
LogisticRegression,61.08156,58.13305,0.55808,0.62106,0.5581,0.58133,0.43213,0.43641,0.80948,1.38,0.8,True
SVC (RBF),63.47518,54.70296,0.5515,0.63271,0.55737,0.54703,0.44446,0.4448,0.8142,16.97,1113.5,True
GaussianNB,59.57447,54.81832,0.53246,0.60287,0.52563,0.54818,0.4036,0.40482,0.78641,0.01,1.0,True
SGDClassifier,60.32801,55.73604,0.53106,0.6099,0.5297,0.55736,0.41566,0.41817,0.79996,0.4,0.2,True
KNN,63.78546,49.50309,0.50818,0.61361,0.56018,0.49503,0.42302,0.42988,0.78767,0.0,27.6,True
AdaBoost,64.00709,46.25774,0.43827,0.59579,0.43694,0.46258,0.42317,0.43485,0.81074,11.31,38.5,False
