Model,MAE,RMSE,MAPE,R2,Acc(100-MAPE),FitTime_s,PredTime_ms,Scaled
RandomForest,5317.2446,7916.01956,22.87589,0.55649,77.12411,17.53,60.7,False
XGBoost,5336.82984,7909.66568,23.1731,0.5572,76.8269,2.23,6.2,False
ExtraTrees,5397.11462,7976.13075,23.35126,0.54973,76.64874,4.48,62.2,False
LightGBM,5397.46438,7935.91028,23.33886,0.55426,76.66114,8.42,24.1,False
HistGradientBoost,5451.40853,7923.91189,23.97191,0.55561,76.02809,0.59,2.9,False
GradientBoosting,5480.80825,7977.41922,24.05472,0.54959,75.94528,45.02,9.7,False
HuberRegressor,5974.50447,8449.49451,26.54392,0.4947,73.45608,0.32,0.1,True
LSTM,6058.35107,8559.20136,27.15331,0.48149,72.84669,,,True
MLP,6065.74436,8370.75004,26.53813,0.50408,73.46187,2.15,1.7,True
Lasso,6072.17996,8387.06413,27.09507,0.50214,72.90493,0.49,0.2,True
LinearRegression,6072.20832,8387.09183,27.09524,0.50214,72.90476,0.04,0.6,True
Ridge,6072.27075,8386.96765,27.09833,0.50215,72.90167,0.01,0.1,True
ElasticNet,6081.46862,8389.38535,27.21466,0.50186,72.78534,0.52,0.2,True
KNN,6297.70212,8626.91162,28.01423,0.47326,71.98577,0.0,161.3,True
AdaBoost,6353.93242,8435.18955,29.06227,0.49641,70.93773,17.78,55.9,False
DecisionTree,6425.92783,9463.3943,26.9937,0.36616,73.0063,0.35,1.1,False
SVR (RBF),7830.64935,10234.6794,35.11779,0.25863,64.88221,2.05,1198.7,True
